INCIDENT_KEY,BORO,PRECINCT,JURISDICTION_CODE,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat,DAY,MONTH,YEAR,WEEKDAY,time_HOUR,time_MINUTE,time_SECOND,PERP_AGE_GROUP_MIN,PERP_AGE_GROUP_MAX,PERP_AGE_MEAN,VIC_AGE_GROUP_MIN,VIC_AGE_GROUP_MAX,VIC_AGE_MEAN
79853889,1,71,0.0,0,1,1,2,1,1,2,1000222,179282,40.65875818300003,-73.94243478799996,POINT (-73.94243478799996 40.65875818300003),15,7,2011,0,22,3,0,18,24,21.0,25,44,34.5
61400095,1,90,2.0,0,1,1,6,0,1,2,1000829,195754,40.70396896100005,-73.94020650199997,POINT (-73.94020650199997 40.703968961000044),1,5,2009,0,0,33,0,18,24,21.0,18,24,21.0
109667604,3,102,0.0,1,3,1,2,1,0,2,1028770,189638,40.68708552500004,-73.83947317699995,POINT (-73.83947317699995 40.687085525000036),19,4,2014,2,11,0,0,25,44,34.5,25,44,34.5
144425812,3,101,0.0,0,1,1,2,0,1,2,1047983,156242,40.59530347900005,-73.77051151899997,POINT (-73.77051151899997 40.59530347900005),11,7,2015,2,3,10,0,18,24,21.0,18,24,21.0
81233203,3,101,0.0,1,1,1,2,0,1,2,1052908,157429,40.59852476000003,-73.75276559599996,POINT (-73.75276559599996 40.59852476000003),17,10,2011,1,3,15,0,18,24,21.0,18,24,21.0
34098083,1,75,0.0,0,1,1,2,0,1,2,1012193,182072,40.666386429000056,-73.89927709799997,POINT (-73.89927709799997 40.666386429000056),31,8,2007,0,0,35,0,18,24,21.0,18,24,21.0
91739682,1,75,0.0,0,3,1,2,0,1,2,1015238,180730,40.66269280500006,-73.88830715999995,POINT (-73.88830715999995 40.66269280500006),21,7,2013,3,16,56,0,25,44,34.5,18,24,21.0
65046113,1,67,0.0,0,3,1,2,1,1,2,997702,173148,40.64192587100007,-73.95152966099994,POINT (-73.95152966099994 40.64192587100007),23,8,2009,3,4,0,0,25,44,34.5,25,44,34.5
91968293,4,120,0.0,0,3,1,2,0,1,2,960153,172945,40.64134611000002,-74.08682975699998,POINT (-74.08682975699998 40.64134611000002),4,8,2013,3,4,22,0,25,44,34.5,18,24,21.0
24550982,2,32,0.0,1,1,1,2,1,1,2,998501,236584,40.816040886000046,-73.94851627699995,POINT (-73.94851627699995 40.816040886000046),27,9,2006,6,23,33,0,18,24,21.0,25,44,34.5
139837828,1,79,0.0,0,1,1,2,0,1,2,997041,188193,40.68322205000004,-73.95388291199998,POINT (-73.95388291199998 40.68322205000004),26,11,2014,6,0,59,0,18,24,21.0,18,24,21.0
92079602,0,42,2.0,0,1,1,2,4,1,2,1010337,243009,40.83364865700002,-73.90573091799997,POINT (-73.90573091799997 40.83364865700002),11,8,2013,3,2,5,0,18,24,21.0,0,18,9.0
81864410,1,60,2.0,0,1,1,2,4,1,2,984367,149604,40.57731262700002,-73.99958025799998,POINT (-73.99958025799998 40.57731262700002),25,11,2011,0,2,35,0,18,24,21.0,0,18,9.0
80319948,1,76,2.0,0,1,1,2,0,1,2,982408,185878,40.67687694800003,-74.00664222699999,POINT (-74.00664222699999 40.67687694800003),16,8,2011,5,12,30,0,18,24,21.0,18,24,21.0
